,date4,size,BTC Price,Date1
0,2016-01-24,1,388.538,2016-01-24
1,2016-02-04,2,370.433,2016-02-04
2,2016-02-15,1,405.621,2016-02-15
3,2016-02-18,1,417.492,2016-02-18
4,2016-02-22,1,436.14,2016-02-22
5,2016-02-28,1,425.502,2016-02-28
6,2016-03-01,2,436.426,2016-03-01
7,2016-03-02,1,434.001,2016-03-02
8,2016-03-06,1,397.883,2016-03-06
9,2016-03-10,1,411.672,2016-03-10
10,2016-03-19,1,407.473,2016-03-19
11,2016-03-23,1,417.318,2016-03-23
12,2016-04-05,1,422.044,2016-04-05
13,2016-04-10,1,418.078,2016-04-10
14,2016-04-11,1,421.192,2016-04-11
15,2016-05-02,1,453.067,2016-05-02
16,2016-05-03,1,443.681,2016-05-03
17,2016-05-18,1,454.064,2016-05-18
18,2016-05-24,2,444.489,2016-05-24
19,2016-05-25,1,447.035,2016-05-25
20,2016-05-28,2,489.847,2016-05-28
21,2016-06-05,1,579.343,2016-06-05
22,2016-06-07,1,585.399,2016-06-07
23,2016-06-13,1,682.226,2016-06-13
24,2016-06-17,2,773.25,2016-06-17
25,2016-06-21,1,702.696,2016-06-21
26,2016-06-24,1,657.08999,2016-06-24
27,2016-07-07,1,671.814,2016-07-07
28,2016-07-31,1,635.588,2016-07-31
29,2016-08-02,3,601.227,2016-08-02
30,2016-08-09,1,586.715,2016-08-09
31,2016-08-14,1,581.65,2016-08-14
32,2016-08-26,1,575.0625,2016-08-26
33,2016-08-27,1,575.3425,2016-08-27
34,2016-08-28,1,568.78875,2016-08-28
35,2016-08-31,1,573.78125,2016-08-31
36,2016-09-04,1,596.45375,2016-09-04
37,2016-09-10,1,620.59875,2016-09-10
38,2016-09-13,1,607.03625,2016-09-13
39,2016-09-15,2,606.8975,2016-09-15
40,2016-09-16,1,605.52125,2016-09-16
41,2016-09-20,1,606.7175,2016-09-20
42,2016-10-14,1,635.88375,2016-10-14
43,2016-10-21,1,629.61249,2016-10-21
44,2016-10-30,1,704.91,2016-10-30
45,2016-11-03,1,741.84875,2016-11-03
46,2016-11-14,1,704.62125,2016-11-14
47,2016-11-23,1,745.97875,2016-11-23
48,2016-11-26,1,737.4025,2016-11-26
49,2016-12-05,1,760.1,2016-12-05
50,2016-12-07,1,758.35375,2016-12-07
51,2016-12-08,1,763.23625,2016-12-08
52,2016-12-11,1,765.9525,2016-12-11
53,2016-12-12,1,769.8275,2016-12-12
54,2016-12-16,1,776.415,2016-12-16
55,2016-12-22,1,842.63875,2016-12-22
56,2016-12-28,1,948.89875,2016-12-28
57,2017-01-01,3,964.325,2017-01-01
58,2017-01-02,1,1009.97375,2017-01-02
59,2017-01-03,1,1028.33375,2017-01-03
60,2017-01-08,2,923.52375,2017-01-08
61,2017-01-14,2,820.68875,2017-01-14
62,2017-01-19,2,888.0625,2017-01-19
63,2017-01-20,2,896.16375,2017-01-20
64,2017-01-22,1,934.7775,2017-01-22
65,2017-02-05,1,1029.40124,2017-02-05
66,2017-02-13,1,1004.85375,2017-02-13
67,2017-02-14,1,994.58,2017-02-14
68,2017-02-16,1,1018.41125,2017-02-16
69,2017-02-17,3,1038.86625,2017-02-17
70,2017-02-18,2,1058.315,2017-02-18
71,2017-02-20,1,1046.66249,2017-02-20
72,2017-02-22,1,1112.86375,2017-02-22
73,2017-02-23,1,1122.515,2017-02-23
74,2017-02-24,3,1193.501,2017-02-24
75,2017-02-25,1,1182.429,2017-02-25
76,2017-02-28,2,1189.94699,2017-02-28
77,2017-03-01,1,1193.611,2017-03-01
78,2017-03-02,1,1221.05,2017-03-02
79,2017-03-08,1,1206.357,2017-03-08
80,2017-03-09,1,1153.06,2017-03-09
81,2017-03-12,1,1186.351,2017-03-12
82,2017-03-15,1,1245.892,2017-03-15
83,2017-03-16,3,1247.67099,2017-03-16
84,2017-03-17,1,1126.08199,2017-03-17
85,2017-03-18,1,1062.07,2017-03-18
86,2017-03-19,1,1000.24599,2017-03-19
87,2017-03-22,2,1091.333,2017-03-22
88,2017-03-24,1,1013.844,2017-03-24
89,2017-03-25,1,921.808,2017-03-25
90,2017-03-28,3,1035.32199,2017-03-28
91,2017-04-01,1,1077.557,2017-04-01
92,2017-04-02,3,1082.37,2017-04-02
93,2017-04-06,2,1150.685,2017-04-06
94,2017-04-08,1,1196.896,2017-04-08
95,2017-04-10,2,1213.801,2017-04-10
96,2017-04-17,3,1184.2,2017-04-17
97,2017-04-18,1,1211.73799,2017-04-18
98,2017-04-19,2,1218.666,2017-04-19
99,2017-04-22,2,1255.25125,2017-04-22
100,2017-04-23,1,1232.7575,2017-04-23
101,2017-04-25,1,1251.5775,2017-04-25
102,2017-04-26,1,1269.69625,2017-04-26
103,2017-04-29,1,1319.7,2017-04-29
104,2017-04-30,3,1311.58874,2017-04-30
105,2017-05-01,3,1370.79,2017-05-01
106,2017-05-03,1,1448.88625,2017-05-03
107,2017-05-04,1,1506.7725,2017-05-04
108,2017-05-09,4,1644.72875,2017-05-09
109,2017-05-10,2,1695.83125,2017-05-10
110,2017-05-11,1,1748.35375,2017-05-11
111,2017-05-12,2,1774.52,2017-05-12
112,2017-05-13,1,1634.6075,2017-05-13
113,2017-05-14,1,1774.805,2017-05-14
114,2017-05-15,2,1747.04375,2017-05-15
115,2017-05-16,1,1665.0325,2017-05-16
116,2017-05-17,2,1744.44125,2017-05-17
117,2017-05-18,3,1796.89625,2017-05-18
118,2017-05-19,4,1913.13875,2017-05-19
119,2017-05-20,3,1983.97875,2017-05-20
120,2017-05-22,5,2114.98875,2017-05-22
121,2017-05-24,3,2348.55249,2017-05-24
122,2017-05-25,1,2581.85375,2017-05-25
123,2017-05-26,1,2460.95375,2017-05-26
124,2017-05-27,5,2232.2875,2017-05-27
125,2017-05-28,1,2234.83374,2017-05-28
126,2017-05-29,1,2195.785,2017-05-29
127,2017-05-30,2,2315.73625,2017-05-30
128,2017-05-31,2,2170.98124,2017-05-31
129,2017-06-01,2,2402.125,2017-06-01
130,2017-06-03,1,2475.2975,2017-06-03
131,2017-06-04,1,2526.31125,2017-06-04
132,2017-06-05,2,2605.125,2017-06-05
133,2017-06-06,1,2855.03,2017-06-06
134,2017-06-07,2,2900.8525,2017-06-07
135,2017-06-08,1,2737.9025,2017-06-08
136,2017-06-10,1,2846.00625,2017-06-10
137,2017-06-11,4,2910.33625,2017-06-11
138,2017-06-12,2,3007.0125,2017-06-12
139,2017-06-13,5,2697.0775,2017-06-13
140,2017-06-15,7,2518.54875,2017-06-15
141,2017-06-17,4,2520.78375,2017-06-17
142,2017-06-18,1,2680.1025,2017-06-18
143,2017-06-19,1,2611.67999,2017-06-19
144,2017-06-21,3,2805.0975,2017-06-21
145,2017-06-22,4,2702.00375,2017-06-22
146,2017-06-23,2,2763.29125,2017-06-23
147,2017-06-24,1,2740.5925,2017-06-24
148,2017-06-25,3,2598.15875,2017-06-25
149,2017-06-26,1,2630.59499,2017-06-26
150,2017-06-27,2,2513.42999,2017-06-27
151,2017-06-28,1,2556.1675,2017-06-28
152,2017-06-30,5,2547.3225,2017-06-30
153,2017-07-01,4,2479.05499,2017-07-01
154,2017-07-02,3,2424.69875,2017-07-02
155,2017-07-03,2,2513.74125,2017-07-03
156,2017-07-04,3,2640.06125,2017-07-04
157,2017-07-05,1,2588.67875,2017-07-05
158,2017-07-07,2,2598.57,2017-07-07
159,2017-07-09,2,2586.0425,2017-07-09
160,2017-07-10,1,2524.12624,2017-07-10
161,2017-07-11,6,2352.265,2017-07-11
162,2017-07-12,5,2292.91375,2017-07-12
163,2017-07-13,3,2437.55375,2017-07-13
164,2017-07-14,1,2337.67875,2017-07-14
165,2017-07-15,2,2109.37375,2017-07-15
166,2017-07-17,2,1986.9425,2017-07-17
167,2017-07-19,3,2354.8925,2017-07-19
168,2017-07-20,1,2349.355,2017-07-20
169,2017-07-21,5,2740.56875,2017-07-21
170,2017-07-23,4,2831.67875,2017-07-23
171,2017-07-25,5,2768.8025,2017-07-25
172,2017-07-26,2,2540.20874,2017-07-26
173,2017-07-27,6,2570.195,2017-07-27
174,2017-07-28,3,2699.72125,2017-07-28
175,2017-07-29,7,2719.69,2017-07-29
176,2017-07-30,2,2714.70375,2017-07-30
177,2017-07-31,6,2718.6175,2017-07-31
178,2017-08-02,7,2739.70875,2017-08-02
179,2017-08-03,3,2740.07125,2017-08-03
180,2017-08-04,5,2811.71,2017-08-04
181,2017-08-05,1,3123.41125,2017-08-05
182,2017-08-06,5,3254.71,2017-08-06
